codigo;resposta;descricao
QE_I01;.;Sem resposta
QE_I01;A;Solteiro(a)
QE_I01;B;Casado (a) ou vivendo em união estável
QE_I01;C;Separado(a) judicialmente/divorciado(a)
QE_I01;D;Viúvo(a)
QE_I01;E;Outro
QE_I02;.;Sem resposta
QE_I02;A;Não
QE_I02;B;Sim, 1 filho
QE_I02;C;Sim, 2 filhos
QE_I02;D;Sim, 3 filhos ou mais
QE_I03;.;Sem resposta
QE_I03;A;Branca
QE_I03;B;Preta
QE_I03;C;Amarela
QE_I03;D;Parda
QE_I03;E;Indígena
QE_I03;F;Não quero declarar
QE_I04;.;Sem resposta
QE_I04;A;Não possuo
QE_I04;B;Cegueira
QE_I04;C;Baixa Visão
QE_I04;D;Surdez
QE_I04;E;Deficiência Auditiva
QE_I04;F;Deficiência Física
QE_I04;G;Transtorno do Espectro Autista (TEA)
QE_I04;H;Altas habilidades/superdotação
QE_I04;I;Deficiência Intelectual
QE_I04;J;Transtorno do Deficit de Atenção com Hiperatividade (TDAH)
QE_I04;K;Dislexia
QE_I04;L;Outras/outros
QE_I04;M;Não quero declarar
QE_I05;.;Sem resposta
QE_I05;A;Sim
QE_I05;B;Não
QE_I05;C;Não sei responder
QE_I06;.;Sem resposta
QE_I06;A;Nenhuma
QE_I06;B;Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série)
QE_I06;C;Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série)
QE_I06;D;Ensino Médio
QE_I06;E;Ensino Superior - Graduação
QE_I06;F;Pós-graduação (Especialização)
QE_I06;G;Pós-Graduação (Mestrado ou Doutorado)
QE_I06;H;Não sei
QE_I07;.;Sem resposta
QE_I07;A;Nenhuma
QE_I07;B;Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série)
QE_I07;C;Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série)
QE_I07;D;Ensino Médio
QE_I07;E;Ensino Superior - Graduação
QE_I07;F;Pós-graduação (Especialização)
QE_I07;G;Pós-Graduação (Mestrado ou Doutorado)
QE_I07;H;Não sei
QE_I08;.;Sem resposta
QE_I08;A;Não tenho renda e meus gastos são financiados por programas governamentais
QE_I08;B;Não tenho renda e meus gastos são financiados pela minha família ou por outras pessoas
QE_I08;C;Tenho renda, mas recebo ajuda da família ou de outras pessoas para financiar meus gastos
QE_I08;D;Tenho renda e não preciso de ajuda para financiar meus gastos
QE_I08;E;Tenho renda e contribuo com o sustento da família
QE_I08;F;Sou o principal responsável pelo sustento da família
QE_I09;.;Sem resposta
QE_I09;A;Até 1,5 salário mínimo (até R$ 2.277,00)
QE_I09;B;De 1,5 a 3 salários mínimos (R$ 2.277,00 a R$ 4.554,00)
QE_I09;C;De 3 a 4,5 salários mínimos (R$ 4.554,00 a R$ 6.831,00)
QE_I09;D;De 4,5 a 6 salários mínimos (R$ 6.831,00 a R$ 9.108,00)
QE_I09;E;De 6 a 10 salários mínimos (R$ 9.108,00 a R$ 15.180,00)
QE_I09;F;De 10 a 30 salários mínimos (R$ 15.180,00 a R$ 45.540,00)
QE_I09;G;Acima de 30 salários mínimos (mais de R$ 45.540,00)
QE_I10;.;Sem resposta
QE_I10;A;Não trabalhei durante o curso
QE_I10;B;Trabalhei 20 horas semanais
QE_I10;C;Trabalhei 30 horas semanais
QE_I10;D;Trabalhei 40 horas semanais
QE_I10;E;Trabalhei com jornada de trabalho flexível de horários
QE_I11;.;Sem resposta
QE_I11;A;Não
