NU_ANO;CO_CURSO;CO_RS_I1;CO_RS_I2;CO_RS_I3;CO_RS_I4;CO_RS_I5;CO_RS_I6;CO_RS_I7;CO_RS_I8;CO_RS_I9
2025;1408508;.;.;.;.;.;.;.;.;.
2025;5001294;.;.;.;.;.;.;.;.;.
2025;1107;.;.;.;.;.;.;.;.;.
2025;1330031;.;.;.;.;.;.;.;.;.
2025;12970;.;.;.;.;.;.;.;.;.
2025;15475;.;.;.;.;.;.;.;.;.
2025;91219;.;.;.;.;.;.;.;.;.
2025;1108786;.;.;.;.;.;.;.;.;.
2025;14615;.;.;.;.;.;.;.;.;.
2025;72669;.;.;.;.;.;.;.;.;.
2025;1399477;.;.;.;.;.;.;.;.;.
2025;108882;.;.;.;.;.;.;.;.;.
2025;12569;.;.;.;.;.;.;.;.;.
2025;85652;.;.;.;.;.;.;.;.;.
2025;121850;.;.;.;.;.;.;.;.;.
2025;1317634;.;.;.;.;.;.;.;.;.
2025;2392;.;.;.;.;.;.;.;.;.
2025;20249;.;.;.;.;.;.;.;.;.
2025;1419799;.;.;.;.;.;.;.;.;.
2025;72681;.;.;.;.;.;.;.;.;.
2025;1342610;.;.;.;.;.;.;.;.;.
2025;100956;.;.;.;.;.;.;.;.;.
2025;5001294;.;.;.;.;.;.;.;.;.
2025;5000979;.;.;.;.;.;.;.;.;.
2025;1185903;.;.;.;.;.;.;.;.;.
2025;2918;.;.;.;.;.;.;.;.;.
2025;1427419;.;.;.;.;.;.;.;.;.
2025;5001294;.;.;.;.;.;.;.;.;.
2025;1173014;.;.;.;.;.;.;.;.;.
2025;74655;.;.;.;.;.;.;.;.;.
2025;5000812;.;.;.;.;.;.;.;.;.
2025;1190280;.;.;.;.;.;.;.;.;.
2025;5001294;.;.;.;.;.;.;.;.;.
2025;1190280;.;.;.;.;.;.;.;.;.
2025;113504;.;.;.;.;.;.;.;.;.
2025;1408505;.;.;.;.;.;.;.;.;.
2025;14725;.;.;.;.;.;.;.;.;.
2025;90483;.;.;.;.;.;.;.;.;.
2025;868;.;.;.;.;.;.;.;.;.
2025;8437;.;.;.;.;.;.;.;.;.
2025;85652;.;.;.;.;.;.;.;.;.
2025;5000979;.;.;.;.;.;.;.;.;.
2025;12569;.;.;.;.;.;.;.;.;.
2025;5001294;.;.;.;.;.;.;.;.;.
2025;65114;.;.;.;.;.;.;.;.;.
2025;121850;.;.;.;.;.;.;.;.;.
2025;18594;.;.;.;.;.;.;.;.;.
2025;9805;.;.;.;.;.;.;.;.;.
2025;1292713;.;.;.;.;.;.;.;.;.
2025;8698;.;.;.;.;.;.;.;.;.
2025;11446;.;.;.;.;.;.;.;.;.
2025;121850;.;.;.;.;.;.;.;.;.
2025;15475;.;.;.;.;.;.;.;.;.
2025;1026;.;.;.;.;.;.;.;.;.
2025;1272168;.;.;.;.;.;.;.;.;.
2025;121850;.;.;.;.;.;.;.;.;.
2025;12970;.;.;.;.;.;.;.;.;.
2025;1385538;.;.;.;.;.;.;.;.;.
2025;14615;.;.;.;.;.;.;.;.;.
2025;1879;.;.;.;.;.;.;.;.;.
2025;5000979;.;.;.;.;.;.;.;.;.
2025;5000930;.;.;.;.;.;.;.;.;.
2025;98506;.;.;.;.;.;.;.;.;.
2025;1135207;.;.;.;.;.;.;.;.;.
2025;14725;.;.;.;.;.;.;.;.;.
2025;15475;.;.;.;.;.;.;.;.;.
2025;1108786;.;.;.;.;.;.;.;.;.
2025;16904;.;.;.;.;.;.;.;.;.
2025;121850;.;.;.;.;.;.;.;.;.
2025;1292725;.;.;.;.;.;.;.;.;.
2025;84408;.;.;.;.;.;.;.;.;.
2025;2392;.;.;.;.;.;.;.;.;.
2025;1192188;.;.;.;.;.;.;.;.;.
2025;113504;.;.;.;.;.;.;.;.;.
2025;1408504;.;.;.;.;.;.;.;.;.
2025;1292713;.;.;.;.;.;.;.;.;.
2025;13200;.;.;.;.;.;.;.;.;.
2025;98506;.;.;.;.;.;.;.;.;.
2025;1029763;.;.;.;.;.;.;.;.;.
2025;65114;.;.;.;.;.;.;.;.;.
2025;85652;.;.;.;.;.;.;.;.;.
2025;14359;.;.;.;.;.;.;.;.;.
2025;16904;.;.;.;.;.;.;.;.;.
2025;121850;.;.;.;.;.;.;.;.;.
2025;12569;.;.;.;.;.;.;.;.;.
2025;1267038;.;.;.;.;.;.;.;.;.
2025;121850;.;.;.;.;.;.;.;.;.
2025;1179189;.;.;.;.;.;.;.;.;.
2025;1107;.;.;.;.;.;.;.;.;.
2025;13424;.;.;.;.;.;.;.;.;.
2025;72667;.;.;.;.;.;.;.;.;.
2025;90483;.;.;.;.;.;.;.;.;.
2025;78256;.;.;.;.;.;.;.;.;.
2025;85586;.;.;.;.;.;.;.;.;.
2025;5000979;.;.;.;.;.;.;.;.;.
2025;1190280;.;.;.;.;.;.;.;.;.
2025;5001033;.;.;.;.;.;.;.;.;.
2025;15839;.;.;.;.;.;.;.;.;.
2025;5001406;.;.;.;.;.;.;.;.;.
2025;140;.;.;.;.;.;.;.;.;.
2025;85652;.;.;.;.;.;.;.;.;.
2025;1168313;.;.;.;.;.;.;.;.;.
2025;1477973;.;.;.;.;.;.;.;.;.
2025;13996;.;.;.;.;.;.;.;.;.
2025;5001294;.;.;.;.;.;.;.;.;.
2025;100688;.;.;.;.;.;.;.;.;.
2025;1399480;.;.;.;.;.;.;.;.;.
2025;18472;.;.;.;.;.;.;.;.;.
2025;1188849;.;.;.;.;.;.;.;.;.
2025;121850;.;.;.;.;.;.;.;.;.
2025;72681;.;.;.;.;.;.;.;.;.
2025;13424;.;.;.;.;.;.;.;.;.
2025;14359;.;.;.;.;.;.;.;.;.
2025;11446;.;.;.;.;.;.;.;.;.
2025;1264844;.;.;.;.;.;.;.;.;.
2025;1342610;.;.;.;.;.;.;.;.;.
2025;121850;.;.;.;.;.;.;.;.;.
2025;1257562;.;.;.;.;.;.;.;.;.
2025;1257777;.;.;.;.;.;.;.;.;.
2025;1178672;.;.;.;.;.;.;.;.;.
2025;1408259;.;.;.;.;.;.;.;.;.
2025;72669;.;.;.;.;.;.;.;.;.
2025;5000931;.;.;.;.;.;.;.;.;.
2025;59414;.;.;.;.;.;.;.;.;.
2025;2392;.;.;.;.;.;.;.;.;.
2025;1406536;.;.;.;.;.;.;.;.;.
2025;1342536;.;.;.;.;.;.;.;.;.
2025;100688;.;.;.;.;.;.;.;.;.
2025;14975;.;.;.;.;.;.;.;.;.
2025;121850;.;.;.;.;.;.;.;.;.
2025;75821;.;.;.;.;.;.;.;.;.
2025;1399478;.;.;.;.;.;.;.;.;.
2025;72669;.;.;.;.;.;.;.;.;.
2025;2392;.;.;.;.;.;.;.;.;.
2025;74655;.;.;.;.;.;.;.;.;.
2025;12569;.;.;.;.;.;.;.;.;.
2025;1190280;.;.;.;.;.;.;.;.;.
2025;72681;.;.;.;.;.;.;.;.;.
2025;5001294;.;.;.;.;.;.;.;.;.
2025;1427419;.;.;.;.;.;.;.;.;.
2025;121850;.;.;.;.;.;.;.;.;.
2025;21542;.;.;.;.;.;.;.;.;.
2025;11446;.;.;.;.;.;.;.;.;.
2025;13601;.;.;.;.;.;.;.;.;.
2025;18605;.;.;.;.;.;.;.;.;.
2025;8698;.;.;.;.;.;.;.;.;.
2025;140;.;.;.;.;.;.;.;.;.
2025;72681;.;.;.;.;.;.;.;.;.
2025;1399477;.;.;.;.;.;.;.;.;.
2025;5001294;.;.;.;.;.;.;.;.;.
2025;37304;.;.;.;.;.;.;.;.;.
2025;5000981;.;.;.;.;.;.;.;.;.
2025;71859;.;.;.;.;.;.;.;.;.
2025;12970;.;.;.;.;.;.;.;.;.
2025;100958;.;.;.;.;.;.;.;.;.
2025;2392;.;.;.;.;.;.;.;.;.
2025;1261971;.;.;.;.;.;.;.;.;.
2025;39415;.;.;.;.;.;.;.;.;.
2025;1190280;.;.;.;.;.;.;.;.;.
2025;12015;.;.;.;.;.;.;.;.;.
2025;5001294;.;.;.;.;.;.;.;.;.
2025;5000812;.;.;.;.;.;.;.;.;.
2025;1399482;.;.;.;.;.;.;.;.;.
2025;12015;.;.;.;.;.;.;.;.;.
2025;1342536;.;.;.;.;.;.;.;.;.
2025;2392;.;.;.;.;.;.;.;.;.
2025;1179501;.;.;.;.;.;.;.;.;.
2025;1146605;.;.;.;.;.;.;.;.;.
2025;1192188;.;.;.;.;.;.;.;.;.
2025;1264844;.;.;.;.;.;.;.;.;.
2025;74655;.;.;.;.;.;.;.;.;.
2025;5345;.;.;.;.;.;.;.;.;.
2025;1261972;.;.;.;.;.;.;.;.;.
2025;1399616;.;.;.;.;.;.;.;.;.
2025;12970;.;.;.;.;.;.;.;.;.
2025;1184432;.;.;.;.;.;.;.;.;.
2025;18472;.;.;.;.;.;.;.;.;.
2025;1026;.;.;.;.;.;.;.;.;.
2025;19086;.;.;.;.;.;.;.;.;.
